d,c_n,c_bn,days
10/23/2008,2943.149902,4932.399902,264
10/24/2008,2584,4310.049805,265
10/27/2008,2524.199951,4092.899902,266
10/29/2008,2697.050049,4280.450195,267
10/31/2008,2885.600098,4521.700195,268
11/3/2008,3043.850098,4875.700195,269
11/4/2008,3142.100098,5220.700195,270
11/5/2008,2994.949951,5121.299805,271
11/6/2008,2892.649902,4940,272
11/7/2008,2973,5043.549805,273
11/10/2008,3148.25,5261.149902,274
11/11/2008,2938.649902,4945.700195,275
11/12/2008,2848.449951,4748.149902,276
11/14/2008,2810.350098,4719.399902,277
11/17/2008,2799.550049,4545.299805,278
11/18/2008,2683.149902,4346.75,279
11/19/2008,2635,4233.700195,280
11/20/2008,2553.149902,4086.899902,281
11/21/2008,2693.449951,4300.700195,282
11/24/2008,2708.25,4164.75,283
11/25/2008,2654,4053.199951,284
11/26/2008,2752.25,4267.899902,285
11/28/2008,2755.100098,4291.149902,286
12/1/2008,2682.899902,4124.299805,287
12/2/2008,2657.800049,4099.299805,288
12/3/2008,2656.449951,4220.350098,289
12/4/2008,2788,4446.649902,290
12/5/2008,2714.399902,4357,291
12/8/2008,2784,4429.850098,292
12/10/2008,2928.25,4550.75,293
12/11/2008,2920.149902,4597.149902,294
12/12/2008,2921.350098,4655.299805,295
12/15/2008,2981.199951,4707.5,296
12/16/2008,3041.75,4820.649902,297
12/17/2008,2954.350098,4789.649902,298
12/18/2008,3060.75,5122.950195,299
12/19/2008,3077.5,5144.149902,300
12/22/2008,3039.300049,5036.5,301
12/23/2008,2968.649902,4858.350098,302
12/24/2008,2916.850098,4930.25,303
12/26/2008,2857.25,4789.450195,304
12/29/2008,2922.199951,4953.950195,305
12/30/2008,2979.5,5062.200195,306
12/31/2008,2959.149902,5001.549805,307
1/2/2009,3046.75,5195.100098,308
1/5/2009,3121.449951,5359.399902,309
1/6/2009,3112.800049,5395.299805,310
1/7/2009,2920.399902,4984.549805,311
1/9/2009,2873,4906.700195,312
1/12/2009,2773.100098,4698,313
1/13/2009,2744.949951,4661.700195,314
1/14/2009,2835.300049,4751.100098,315
1/15/2009,2736.699951,4484.649902,316
1/16/2009,2828.449951,4581.25,317
1/19/2009,2846.199951,4542.25,318
1/20/2009,2796.600098,4402.350098,319
1/21/2009,2706.149902,4252.299805,320
1/22/2009,2713.800049,4289.799805,321
1/23/2009,2678.550049,4082.149902,322
1/27/2009,2771.350098,4199.549805,323
1/28/2009,2849.5,4340.100098,324
1/29/2009,2823.949951,4362.049805,325
1/30/2009,2874.800049,4456.549805,326
2/2/2009,2766.649902,4238.149902,327
2/3/2009,2783.899902,4253.799805,328
2/4/2009,2803.050049,4251.200195,329
2/5/2009,2780.050049,4235.350098,330
2/6/2009,2843.100098,4334.149902,331
2/9/2009,2919.899902,4459.5,332
2/10/2009,2934.5,4515.799805,333
2/11/2009,2925.699951,4504.299805,334
2/12/2009,2893.050049,4468.350098,335
2/13/2009,2948.350098,4565.850098,336
2/16/2009,2848.5,4351.450195,337
2/17/2009,2770.5,4164.299805,338
2/18/2009,2776.149902,4077.300049,339
2/19/2009,2789.350098,4059.149902,340
2/20/2009,2736.449951,3934.399902,341
2/24/2009,2733.899902,3878.600098,342
2/25/2009,2762.5,3911.699951,343
2/26/2009,2785.649902,3834.899902,344
2/27/2009,2763.649902,3892.399902,345
3/2/2009,2674.600098,3718.350098,346
3/3/2009,2622.399902,3636.850098,347
3/4/2009,2645.199951,3586.899902,348
3/5/2009,2576.699951,3446.350098,349
3/6/2009,2620.149902,3455.350098,350
3/9/2009,2573.149902,3339.699951,351
3/12/2009,2617.449951,3442.550049,352
3/13/2009,2719.25,3632.75,353
3/16/2009,2777.25,3736.649902,354
3/17/2009,2757.449951,3644.649902,355
3/18/2009,2794.699951,3727.649902,356
3/19/2009,2807.149902,3763.5,357
3/20/2009,2807.050049,3691.699951,358
3/23/2009,2939.899902,3944.75,359
3/24/2009,2938.699951,4008.050049,360
3/25/2009,2984.350098,4126.450195,361
3/26/2009,3082.25,4285.149902,362
3/27/2009,3108.649902,4406.799805,363
3/30/2009,2978.149902,4035.699951,364
3/31/2009,3020.949951,4133.200195,365
4/1/2009,3060.350098,4211.450195,366
4/2/2009,3211.050049,4426.049805,367
4/6/2009,3256.600098,4487.100098,368
4/8/2009,3342.949951,4479.350098,369
4/9/2009,3342.050049,4584.799805,370
4/13/2009,3382.600098,4818,371
4/15/2009,3484.149902,5049.450195,372
4/16/2009,3369.5,4915.75,373
4/17/2009,3384.399902,5056.899902,374
4/20/2009,3377.100098,5009.200195,375
4/21/2009,3365.300049,4853.899902,376
4/22/2009,3330.300049,4813.299805,377
4/23/2009,3423.699951,4968.399902,378
4/24/2009,3480.75,5125.350098,379
4/27/2009,3470,5182.75,380
4/28/2009,3362.350098,4931.299805,381
4/29/2009,3473.949951,5130.950195,382
5/4/2009,3654,5504.049805,383
5/5/2009,3661.899902,5596.200195,384
5/6/2009,3625.050049,5446.450195,385
5/7/2009,3683.899902,5577.299805,386
5/8/2009,3620.699951,5409.75,387
5/11/2009,3554.600098,5343.600098,388
5/12/2009,3681.100098,5585.549805,389
5/13/2009,3635.25,5523.75,390
5/14/2009,3593.449951,5495.100098,391
5/15/2009,3671.649902,5695.049805,392
5/18/2009,4323.149902,6766.549805,393
5/19/2009,4318.450195,7268.200195,394
5/20/2009,4270.299805,7128.600098,395
5/21/2009,4210.899902,6905.049805,396
5/22/2009,4238.5,7036.299805,397
5/25/2009,4237.549805,7049.75,398
5/26/2009,4116.700195,6851.100098,399
5/27/2009,4276.049805,7215.200195,400
5/28/2009,4337.100098,7338.600098,401
5/29/2009,4448.950195,7414.350098,402
6/1/2009,4529.899902,7376,403
6/2/2009,4525.25,7374.549805,404
6/3/2009,4530.700195,7262.299805,405
6/4/2009,4572.649902,7347.350098,406
6/5/2009,4586.899902,7348.399902,407
6/8/2009,4429.899902,6975.049805,408
6/9/2009,4550.950195,7185.75,409
6/10/2009,4655.25,7338.950195,410
6/11/2009,4637.700195,7251.649902,411
6/12/2009,4583.399902,7083.100098,412
6/15/2009,4484,7081.200195,413
6/16/2009,4517.799805,7274.149902,414
6/17/2009,4356.149902,7081.75,415
6/18/2009,4251.399902,7081.149902,416
6/19/2009,4313.600098,7223.549805,417
6/22/2009,4235.25,7229.549805,418
