d,o,h,l,c
286.00,5007.649902,5087.600098,5004.350098,5083.950195
287.00,5087.200195,5110.5,5057.049805,5083.399902
288.00,5076.049805,5076.049805,4991.950195,5003.200195
289.00,5003.649902,5034.700195,4921.049805,5027.399902
290.00,5031.700195,5077,4972.950195,4985.75
291.00,5011.25,5035.100098,4980.700195,5002.25
292.00,4993,5032.600098,4934.549805,4945.200195
293.00,4945.450195,5068.049805,4945.450195,5054.25
294.00,null,null,null,null
295.00,5054.350098,5127.399902,5054.350098,5118.200195
296.00,5118.549805,5152.25,5077.100098,5108.850098
297.00,5108.649902,5149.649902,5093.200195,5142.149902
298.00,5145.600098,5181.950195,5102.649902,5114.450195
299.00,5114.850098,5117.450195,5051.649902,5063.600098
300.00,5063.350098,5064.25,4968.450195,4988.600098
301.00,4986.549805,5054.950195,4983.25,4997.049805
302.00,4997.149902,5033.75,4961.350098,4970.899902
303.00,4970.549805,4970.549805,4829.5,4846.700195
304.00,4846.549805,4867,4784.100098,4826.149902
305.00,4826.100098,4826.100098,4738.399902,4750.549805
306.00,4751.100098,4853.649902,4687.5,4711.700195
