Date,Open,High,Low,Close
16-07-15,18870.5,19195.40039,18867.5,19168.05078
17-07-15,19175.30078,19229.05078,19069.30078,19094.69922
20-07-15,19126.09961,19149.05078,18852.69922,19032.69922
21-07-15,19042.94922,19101.5,18702.44922,18723.40039
22-07-15,18683.30078,19038.15039,18613.59961,18997
23-07-15,18990.84961,19091.44922,18819.25,18865
24-07-15,18832.44922,18860.75,18613.55078,18635.84961
27-07-15,18566.55078,18566.55078,18187.44922,18213.05078
28-07-15,18250.65039,18379.09961,18174.19922,18282.80078
29-07-15,18331.55078,18383.65039,18264.30078,18323.40039
30-07-15,18383,18521.75,18367.19922,18440.40039
31-07-15,18489.84961,18828.84961,18474.80078,18729.84961
03-08-15,18782.65039,19016.40039,18782.65039,18914.69922
04-08-15,18968.25,19067.34961,18758.90039,18972.59961
05-08-15,19047.30078,19103.69922,18868.65039,18928.55078
06-08-15,18946.30078,19100.55078,18830.40039,19029.34961
07-08-15,18992.80078,19019.65039,18849.15039,18893.55078
10-08-15,18926.09961,19071.34961,18781.30078,18875
11-08-15,18918.55078,18918.55078,18555.5,18616.90039
12-08-15,18515.19922,18515.19922,18034.75,18059.75
13-08-15,18211.5,18359.25,18080.5,18175.40039
14-08-15,18275.5,18766,18193.09961,18723.59961
17-08-15,18763.05078,18896.44922,18580.65039,18822.05078
18-08-15,18862.15039,18874.09961,18595.5,18780.84961
19-08-15,18753.44922,18803.5,18636.09961,18703.25
20-08-15,18533.25,18711.34961,18219.90039,18283.09961
21-08-15,17978.25,18118.80078,17842.09961,18057.19922
24-08-15,17446.34961,17446.34961,16740.69922,16811.80078
25-08-15,17084.15039,17269.15039,16670.55078,17192.75
26-08-15,17113.09961,17172.19922,16875.5,16917.65039
27-08-15,17175.65039,17249.5,17061.84961,17214.40039
28-08-15,17425.30078,17569.80078,17099.80078,17211.94922
31-08-15,17137.25,17353.30078,17028.90039,17146.55078
01-09-15,16983.80078,16983.80078,16436.84961,16530.30078
02-09-15,16703.94922,16714.5,16218.65039,16252.7002
03-09-15,16404.94922,16607.40039,16320.54981,16555.40039
04-09-15,16444.19922,16444.19922,15933.15039,16129.09961
07-09-15,16222.2002,16273.34961,15762.2002,15790.09961
08-09-15,15888.5,16419,15819.54981,16350.9502
09-09-15,16658.34961,16781.55078,16462.44922,16631.5
10-09-15,16351.75,16711.55078,16192.25,16597.65039
11-09-15,16682.25,16781.15039,16518.80078,16612.59961
14-09-15,16596.5,16937.90039,16525.15039,16911.80078
15-09-15,16905.80078,16919.44922,16681.55078,16739.55078
16-09-15,null,null,null,null
18-09-15,17184.25,17602,17156.19922,17409.15039
21-09-15,17186.05078,17571.30078,17178.84961,17542.90039
22-09-15,17574.59961,17652.34961,16946.25,17031.15039
23-09-15,16783.80078,17309.69922,16759,17255.30078
24-09-15,null,null,null,null
28-09-15,17286.25,17384.75,17073.94922,17100.30078
29-09-15,16859.75,17461.34961,16648.30078,17281.19922
30-09-15,17404.75,17449.84961,17100.19922,17216.30078
01-10-15,null,null,null,null
05-10-15,17373.55078,17699.75,17362.69922,17674.05078
06-10-15,17822.69922,17827.15039,17493.75,17605.34961
07-10-15,17577.5,17674.55078,17500.34961,17616.80078
08-10-15,17622.84961,17622.84961,17401.19922,17474.30078
09-10-15,17640.40039,17749.55078,17498.44922,17590.25
12-10-15,17642.59961,17759.80078,17546.94922,17583.15039
13-10-15,17530.55078,17632.25,17473.69922,17554.84961
14-10-15,17453,17598.09961,17434.05078,17543.25
15-10-15,17604.44922,17752.69922,17582.84961,17686.09961
16-10-15,17701.5,17947.75,17583.55078,17912.84961
19-10-15,17911.65039,17954.90039,17817.94922,17855.05078
20-10-15,17843.65039,17940.40039,17755.65039,17830.25
21-10-15,17814.55078,17891.75,17565.34961,17710.55078
23-10-15,17859.75,17980.5,17852.55078,17934.05078
26-10-15,18027.09961,18029.05078,17798.65039,17815.05078
27-10-15,17738.44922,17855.34961,17738.44922,17806.30078
28-10-15,17589.34961,17682.44922,17281.40039,17373.15039
29-10-15,17388.40039,17400.19922,17178.84961,17212.19922
30-10-15,17249.90039,17399.09961,17170.34961,17354.5
02-11-15,17351.44922,17372.25,17208.94922,17340.59961
03-11-15,17436.5,17466.19922,17265.05078,17325.59961
04-11-15,17449,17449,17175.65039,17221.05078
05-11-15,17166.44922,17166.44922,16957.34961,16995.09961
06-11-15,null,null,null,null
09-11-15,null,null,null,null
10-11-15,null,null,null,null
13-11-15,null,null,null,null
16-11-15,null,null,null,null
17-11-15,null,null,null,null
18-11-15,null,null,null,null
19-11-15,null,null,null,null
20-11-15,null,null,null,null
23-11-15,null,null,null,null
24-11-15,null,null,null,null
26-11-15,null,null,null,null
27-11-15,null,null,null,null
30-11-15,null,null,null,null
01-12-15,null,null,null,null
02-12-15,null,null,null,null
03-12-15,null,null,null,null
04-12-15,null,null,null,null
07-12-15,null,null,null,null
08-12-15,null,null,null,null
09-12-15,null,null,null,null
10-12-15,null,null,null,null
11-12-15,null,null,null,null
14-12-15,null,null,null,null
15-12-15,16342.34961,16425.15039,16188.04981,16398.65039
16-12-15,null,null,null,null
17-12-15,null,null,null,null
18-12-15,null,null,null,null
21-12-15,null,null,null,null
22-12-15,null,null,null,null
23-12-15,null,null,null,null
24-12-15,null,null,null,null
28-12-15,null,null,null,null
29-12-15,null,null,null,null
30-12-15,null,null,null,null
31-12-15,null,null,null,null
01-01-16,null,null,null,null
04-01-16,null,null,null,null
05-01-16,null,null,null,null
06-01-16,null,null,null,null
07-01-16,null,null,null,null
08-01-16,null,null,null,null
11-01-16,null,null,null,null
12-01-16,null,null,null,null
13-01-16,null,null,null,null
14-01-16,15612.09961,15803.2002,15453.40039,15609.79981
15-01-16,null,null,null,null
18-01-16,null,null,null,null
19-01-16,null,null,null,null
20-01-16,null,null,null,null
21-01-16,null,null,null,null
22-01-16,null,null,null,null
25-01-16,15667,15682.65039,15495.09961,15561.15039
27-01-16,null,null,null,null
28-01-16,null,null,null,null
29-01-16,null,null,null,null
01-02-16,null,null,null,null
02-02-16,null,null,null,null
03-02-16,null,null,null,null
04-02-16,null,null,null,null
05-02-16,null,null,null,null
08-02-16,15206.29981,15367.90039,14960.09961,15046.79981
09-02-16,null,null,null,null
10-02-16,null,null,null,null
11-02-16,null,null,null,null
12-02-16,null,null,null,null
15-02-16,null,null,null,null
16-02-16,null,null,null,null
17-02-16,null,null,null,null
18-02-16,null,null,null,null
19-02-16,14243.4502,14395.84961,14207.34961,14344.2002
22-02-16,null,null,null,null
23-02-16,null,null,null,null
24-02-16,null,null,null,null
25-02-16,13844.4502,13844.4502,13519.90039,13555.7002
26-02-16,null,null,null,null
29-02-16,null,null,null,null
01-03-16,null,null,null,null
02-03-16,null,null,null,null
03-03-16,null,null,null,null
04-03-16,null,null,null,null
08-03-16,null,null,null,null
09-03-16,null,null,null,null
10-03-16,null,null,null,null
11-03-16,null,null,null,null
14-03-16,null,null,null,null
15-03-16,null,null,null,null
16-03-16,null,null,null,null
17-03-16,null,null,null,null
18-03-16,null,null,null,null
21-03-16,null,null,null,null
22-03-16,null,null,null,null
23-03-16,null,null,null,null
28-03-16,null,null,null,null
29-03-16,null,null,null,null
30-03-16,null,null,null,null
31-03-16,null,null,null,null
01-04-16,null,null,null,null
04-04-16,16236.90039,16278.5,16046.5,16190.59961
05-04-16,null,null,null,null
06-04-16,null,null,null,null
07-04-16,null,null,null,null
08-04-16,null,null,null,null
11-04-16,null,null,null,null
12-04-16,null,null,null,null
13-04-16,null,null,null,null
18-04-16,null,null,null,null
20-04-16,null,null,null,null
21-04-16,null,null,null,null
22-04-16,null,null,null,null
25-04-16,null,null,null,null
26-04-16,null,null,null,null
27-04-16,null,null,null,null
28-04-16,null,null,null,null
29-04-16,null,null,null,null
02-05-16,null,null,null,null
03-05-16,null,null,null,null
04-05-16,null,null,null,null
05-05-16,null,null,null,null
06-05-16,null,null,null,null
09-05-16,null,null,null,null
10-05-16,null,null,null,null
11-05-16,null,null,null,null
12-05-16,null,null,null,null
13-05-16,null,null,null,null
16-05-16,null,null,null,null
17-05-16,null,null,null,null
18-05-16,null,null,null,null
19-05-16,null,null,null,null
20-05-16,null,null,null,null
23-05-16,null,null,null,null
24-05-16,null,null,null,null
25-05-16,16600.65039,17025.84961,16599.05078,16997.44922
26-05-16,null,null,null,null
27-05-16,null,null,null,null
30-05-16,null,null,null,null
31-05-16,null,null,null,null
01-06-16,null,null,null,null
02-06-16,null,null,null,null
03-06-16,null,null,null,null
06-06-16,17710.44922,17754.15039,17636.90039,17671.40039
07-06-16,null,null,null,null
08-06-16,null,null,null,null
09-06-16,null,null,null,null
10-06-16,17830.19922,18051.5,17815.25,17828.59961
13-06-16,null,null,null,null
14-06-16,null,null,null,null
15-06-16,null,null,null,null
16-06-16,null,null,null,null
17-06-16,null,null,null,null
20-06-16,null,null,null,null
21-06-16,null,null,null,null
22-06-16,null,null,null,null
23-06-16,null,null,null,null
24-06-16,null,null,null,null
27-06-16,null,null,null,null
28-06-16,null,null,null,null
29-06-16,null,null,null,null
30-06-16,null,null,null,null
01-07-16,null,null,null,null
04-07-16,null,null,null,null
05-07-16,null,null,null,null
07-07-16,null,null,null,null
08-07-16,null,null,null,null
11-07-16,null,null,null,null
12-07-16,null,null,null,null
13-07-16,null,null,null,null
14-07-16,null,null,null,null
15-07-16,null,null,null,null
18-07-16,null,null,null,null
19-07-16,null,null,null,null
20-07-16,null,null,null,null
21-07-16,null,null,null,null
22-07-16,null,null,null,null
25-07-16,null,null,null,null
26-07-16,null,null,null,null
27-07-16,null,null,null,null
28-07-16,19050.40039,19126.75,18998.80078,19076.55078
29-07-16,null,null,null,null
01-08-16,null,null,null,null
02-08-16,null,null,null,null
03-08-16,null,null,null,null
04-08-16,null,null,null,null
05-08-16,null,null,null,null
08-08-16,null,null,null,null
09-08-16,null,null,null,null
10-08-16,null,null,null,null
11-08-16,null,null,null,null
12-08-16,null,null,null,null
16-08-16,null,null,null,null
17-08-16,null,null,null,null
18-08-16,null,null,null,null
19-08-16,null,null,null,null
22-08-16,null,null,null,null
23-08-16,null,null,null,null
24-08-16,null,null,null,null
25-08-16,null,null,null,null
26-08-16,null,null,null,null
29-08-16,null,null,null,null
30-08-16,null,null,null,null
31-08-16,null,null,null,null
01-09-16,null,null,null,null
02-09-16,null,null,null,null
06-09-16,null,null,null,null
07-09-16,null,null,null,null
08-09-16,null,null,null,null
09-09-16,null,null,null,null
12-09-16,null,null,null,null
14-09-16,null,null,null,null
15-09-16,null,null,null,null
